likes,retweets,pos_score,neg_score,vn_lable,n_lable,nu_lable,p_lable,vp_lable,followers,followings,verifies,ratings
2,1,0.55,0.45,0.1,0.25,0.19,0.25,0.22,5466,441,0.043,0
87,9,0.4,0.6,0.38,0.17,0.18,0.1,0.16,39870,8190,0.062,0
151,35,0.42,0.58,0.24,0.34,0.19,0.12,0.12,7708,837,0.036,0
595,149,0.34,0.66,0.4,0.22,0.17,0.15,0.06,275149,866,0.039,0
91,29,0.49,0.51,0.24,0.14,0.25,0.21,0.16,102737,1606,0.061,0
3,0,0.42,0.58,0.26,0.23,0.26,0.14,0.11,7024,1488,0.031,0
1,0,0.32,0.68,0.5,0.2,0.13,0.03,0.14,2857,1718,0.0,0
103,41,0.34,0.66,0.36,0.28,0.2,0.12,0.04,15388,1197,0.032,0
3,2,0.34,0.66,0.4,0.23,0.18,0.11,0.07,5417,1144,0.023,0
96,26,0.56,0.44,0.14,0.19,0.23,0.18,0.27,6868,1669,0.072,0
8,4,0.32,0.68,0.41,0.25,0.2,0.09,0.05,37330,2452,0.082,0
429,127,0.4,0.6,0.22,0.27,0.33,0.06,0.12,51334,920,0.046,0
27,4,0.5,0.5,0.18,0.23,0.18,0.25,0.17,68301,1228,0.029,0
1,0,0.48,0.52,0.26,0.22,0.15,0.17,0.2,1147,725,0.012,0
113,85,0.37,0.63,0.34,0.23,0.26,0.09,0.08,3258,793,0.0,0
3,1,0.33,0.67,0.39,0.3,0.15,0.11,0.06,5593,1073,0.01,0
13,1,0.44,0.56,0.28,0.18,0.23,0.24,0.08,8182,1198,0.011,0
20,2,0.46,0.54,0.23,0.26,0.19,0.16,0.17,9269,997,0.016,0
83,38,0.5,0.5,0.18,0.16,0.27,0.27,0.12,112665,6351,0.048,0
964,249,0.23,0.77,0.56,0.23,0.13,0.05,0.03,32410,1075,0.009,0
210,117,0.25,0.75,0.56,0.21,0.14,0.07,0.03,54193,2010,0.029,0
383,65,0.37,0.63,0.34,0.23,0.22,0.14,0.08,10780,1214,0.022,0
4,1,0.43,0.57,0.25,0.25,0.25,0.16,0.11,15082,3298,0.084,0
46,8,0.4,0.6,0.27,0.3,0.19,0.13,0.11,39775,4374,0.011,0
141,45,0.37,0.63,0.34,0.27,0.17,0.12,0.09,88343,3232,0.068,0
72,16,0.42,0.58,0.18,0.4,0.19,0.13,0.1,12177,946,0.034,0
120,13,0.41,0.59,0.36,0.21,0.15,0.1,0.18,42460,1227,0.074,0
2,1,0.46,0.54,0.21,0.27,0.2,0.2,0.11,3891,2091,0.008,0
27,7,0.35,0.65,0.35,0.27,0.2,0.1,0.08,10220,747,0.076,0
36,5,0.4,0.6,0.36,0.21,0.18,0.11,0.13,5285,1228,0.044,0
1,0,0.35,0.65,0.33,0.29,0.16,0.16,0.06,3874,2726,0.012,0
0,0,0.49,0.51,0.08,0.33,0.25,0.17,0.17,3453,2098,0.0,0
17,8,0.36,0.64,0.29,0.32,0.28,0.02,0.1,38014,1313,0.049,0
43,15,0.31,0.69,0.38,0.28,0.22,0.08,0.03,71360,2337,0.048,0
259,181,0.49,0.51,0.3,0.13,0.17,0.24,0.17,20750,670,0.016,0
59,20,0.38,0.62,0.32,0.21,0.27,0.11,0.09,22135,4808,0.053,0
5,1,0.3,0.7,0.43,0.27,0.24,0.03,0.03,71757,1449,0.061,0
166,32,0.48,0.52,0.22,0.18,0.24,0.15,0.2,14313,1185,0.082,0
597,73,0.41,0.59,0.29,0.27,0.23,0.08,0.12,5899,1687,0.021,0
0,0,0.3,0.7,0.32,0.45,0.12,0.09,0.02,10358,5429,0.013,0
88,24,0.5,0.5,0.21,0.17,0.24,0.21,0.17,22021,1063,0.056,0
7,1,0.41,0.59,0.26,0.3,0.2,0.13,0.11,4571,877,0.031,1
1,0,0.56,0.44,0.16,0.16,0.2,0.23,0.26,1555,1210,0.016,0
2126,437,0.39,0.61,0.24,0.31,0.22,0.15,0.08,33541,3111,0.058,0
12,1,0.44,0.56,0.26,0.26,0.19,0.15,0.14,5215,2141,0.0,0
1,0,0.28,0.72,0.7,0.05,0.07,0.07,0.1,2492,450,0.0,0
57,4,0.43,0.57,0.28,0.19,0.25,0.18,0.11,94591,462,0.079,0
5,1,0.32,0.68,0.33,0.23,0.41,0.03,0.0,27292,1227,0.072,0
9,2,0.59,0.41,0.17,0.12,0.17,0.21,0.33,37211,796,0.011,0
14,5,0.46,0.54,0.19,0.25,0.27,0.17,0.12,29325,4293,0.041,0
12,8,0.33,0.67,0.44,0.18,0.23,0.08,0.07,2397,1224,0.0,0
76,15,0.4,0.6,0.33,0.24,0.15,0.19,0.1,11321,1963,0.069,0
0,0,0.39,0.61,0.67,0.0,0.0,0.0,0.33,114,164,0.0,0
3,1,0.48,0.52,0.18,0.26,0.26,0.13,0.18,4644,1270,0.034,0
2,0,0.45,0.55,0.25,0.16,0.36,0.1,0.12,170711,970,0.064,0
3,0,0.45,0.55,0.21,0.27,0.24,0.17,0.12,2160,1437,0.01,0
2,0,0.41,0.59,0.27,0.24,0.24,0.16,0.09,17172,1909,0.056,0
1,0,0.44,0.56,0.2,0.28,0.27,0.12,0.13,4170,1295,0.022,0
3140,678,0.38,0.62,0.31,0.22,0.31,0.1,0.07,11797,2073,0.068,0
1,0,0.33,0.67,0.38,0.32,0.15,0.1,0.06,641,543,0.01,0
77,17,0.28,0.72,0.45,0.31,0.15,0.03,0.06,48600,1025,0.032,0
36,21,0.42,0.58,0.24,0.29,0.26,0.08,0.12,102332,492,0.037,0
2,0,0.41,0.59,0.24,0.38,0.13,0.15,0.11,2816,932,0.025,0
214,59,0.3,0.7,0.5,0.2,0.17,0.04,0.09,1496,1099,0.053,0
3,0,0.5,0.5,0.21,0.22,0.19,0.22,0.18,1420,1044,0.0,0
13,2,0.4,0.6,0.3,0.25,0.2,0.16,0.09,3990,1546,0.069,0
2,0,0.56,0.44,0.15,0.15,0.23,0.24,0.23,2388,1177,0.022,0
1,0,0.42,0.58,0.22,0.29,0.23,0.14,0.11,1344,1072,0.0,0
33,6,0.22,0.78,0.58,0.25,0.12,0.03,0.03,15842,1067,0.042,0
1,0,0.51,0.49,0.15,0.27,0.17,0.24,0.17,3210,1040,0.029,0
220,23,0.52,0.48,0.19,0.19,0.21,0.17,0.24,39957,2250,0.075,0
3,1,0.47,0.53,0.19,0.28,0.22,0.13,0.19,3122,818,0.022,0
1702,103,0.28,0.72,0.46,0.28,0.15,0.07,0.03,112292,997,0.071,0
7,2,0.44,0.56,0.27,0.15,0.31,0.13,0.14,113102,642,0.074,0
657,243,0.39,0.61,0.29,0.26,0.19,0.14,0.12,103757,5439,0.122,1
4,1,0.42,0.58,0.21,0.33,0.23,0.12,0.12,122719,1918,0.05,0
7,2,0.24,0.76,0.54,0.25,0.15,0.05,0.01,3005,948,0.0,0
355,59,0.52,0.48,0.21,0.15,0.16,0.29,0.18,25144,2939,0.023,1
4511,1367,0.38,0.62,0.33,0.27,0.22,0.07,0.11,6741,3891,0.014,0
53,6,0.36,0.64,0.45,0.13,0.16,0.12,0.13,65584,1236,0.025,0
2,0,0.41,0.59,0.3,0.26,0.17,0.17,0.11,6153,1065,0.021,0
59,12,0.4,0.6,0.31,0.27,0.2,0.09,0.12,17173,1845,0.054,1
4,1,0.38,0.62,0.36,0.2,0.22,0.12,0.11,256125,2221,0.043,1
4,1,0.36,0.64,0.36,0.23,0.21,0.11,0.09,4460,950,0.012,1
6,10,0.32,0.68,0.4,0.3,0.17,0.08,0.05,2466,1757,0.011,1
823,284,0.25,0.75,0.48,0.32,0.17,0.03,0.01,194453,4918,0.053,0
780,173,0.36,0.64,0.32,0.28,0.23,0.13,0.04,19469,1746,0.066,0
1893,498,0.4,0.6,0.36,0.19,0.18,0.11,0.16,4058,2328,0.01,0
23,1,0.48,0.52,0.23,0.2,0.16,0.21,0.21,5389,1369,0.033,0
1,0,0.32,0.68,0.46,0.26,0.1,0.08,0.1,1628,1133,0.0,1
2424,138,0.34,0.66,0.39,0.26,0.19,0.06,0.1,6113,1657,0.057,0
102,35,0.32,0.68,0.41,0.29,0.15,0.11,0.05,35917,1046,0.041,0
0,0,0.48,0.52,0.2,0.06,0.39,0.28,0.07,436,758,0.0,0
921,162,0.47,0.53,0.22,0.25,0.19,0.2,0.15,22411,1947,0.056,0
456,107,0.33,0.67,0.43,0.24,0.16,0.1,0.07,39197,6011,0.08,0
5,1,0.47,0.53,0.16,0.26,0.32,0.13,0.14,2691,1985,0.02,0
204,122,0.46,0.54,0.24,0.24,0.18,0.15,0.18,4553,1037,0.011,0
0,0,0.52,0.48,0.25,0.14,0.14,0.25,0.23,2417,1000,0.021,0
0,0,0.51,0.49,0.0,0.0,1.0,0.0,0.0,1711,3020,0.0,0
0,0,0.3,0.7,0.42,0.38,0.04,0.04,0.12,1923,970,0.0,0
8,1,0.33,0.67,0.43,0.32,0.09,0.02,0.14,74953,831,0.121,0
1,0,0.27,0.73,0.41,0.32,0.23,0.05,0.0,4030,576,0.027,0
0,0,0.23,0.77,0.78,0.0,0.11,0.0,0.11,3364,326,0.0,0
0,0,0.11,0.89,0.71,0.29,0.0,0.0,0.0,3435,63,0.0,0
0,0,0.44,0.56,0.33,0.0,0.67,0.0,0.0,7577,17,0.0,0
1,0,0.51,0.49,0.27,0.12,0.2,0.16,0.25,2611,832,0.0,0
1,2,0.56,0.44,0.15,0.18,0.14,0.25,0.28,4464,733,0.032,0
0,0,0.33,0.67,0.0,0.86,0.0,0.0,0.14,1428,198,0.0,0
1,0,0.72,0.28,0.06,0.1,0.12,0.26,0.45,2552,1210,0.01,0
0,0,0.79,0.21,0.0,0.0,0.0,0.75,0.25,2520,497,0.0,0
1366,317,0.49,0.51,0.23,0.22,0.15,0.23,0.17,40616,677,0.066,0
149,31,0.36,0.64,0.41,0.16,0.21,0.11,0.1,3915,919,0.01,1
88,11,0.45,0.55,0.22,0.22,0.26,0.17,0.12,5480,1596,0.029,0
129,50,0.41,0.59,0.24,0.31,0.14,0.21,0.1,2308,1156,0.029,0
2327,405,0.42,0.58,0.31,0.2,0.2,0.14,0.14,2518,1048,0.013,1
391,37,0.36,0.64,0.3,0.34,0.23,0.08,0.06,46639,12045,0.05,0
27,5,0.52,0.48,0.21,0.2,0.14,0.21,0.25,5111,1512,0.012,0
69,3,0.39,0.61,0.28,0.34,0.18,0.11,0.1,120396,1117,0.02,0
4,0,0.46,0.54,0.26,0.21,0.23,0.12,0.18,14754,539,0.032,0
1,2,0.38,0.62,0.42,0.21,0.1,0.23,0.04,5030,3722,0.014,0
12,2,0.34,0.66,0.29,0.35,0.25,0.07,0.05,196027,1318,0.08,0
189,49,0.31,0.69,0.38,0.35,0.11,0.12,0.03,30618,3595,0.097,0
3,1,0.41,0.59,0.32,0.23,0.16,0.15,0.14,6298,2289,0.015,0
183,33,0.35,0.65,0.37,0.23,0.19,0.16,0.06,157366,1557,0.093,0
551,159,0.41,0.59,0.23,0.35,0.21,0.14,0.07,652268,662,0.077,0
400,141,0.43,0.57,0.29,0.23,0.24,0.1,0.14,73882,3058,0.054,0
232,24,0.42,0.58,0.23,0.27,0.25,0.17,0.09,6898,1803,0.029,0
2158,843,0.39,0.61,0.24,0.35,0.23,0.09,0.1,48619,1532,0.032,0
193,90,0.49,0.51,0.18,0.26,0.2,0.18,0.18,15815,1378,0.021,0
716,258,0.23,0.77,0.59,0.26,0.1,0.05,0.01,3074,1562,0.02,0
5,1,0.32,0.68,0.41,0.23,0.15,0.16,0.04,37608,1199,0.012,1
1339,469,0.29,0.71,0.5,0.23,0.14,0.1,0.04,47325,3334,0.056,0
105,22,0.41,0.59,0.36,0.15,0.26,0.09,0.14,16020,1096,0.011,0
780,123,0.36,0.64,0.27,0.41,0.15,0.11,0.06,400135,1996,0.061,0
393,120,0.2,0.8,0.66,0.19,0.11,0.0,0.04,36461,1731,0.029,0
39,5,0.22,0.78,0.65,0.16,0.09,0.08,0.03,11591,2518,0.022,0
23,2,0.33,0.67,0.39,0.24,0.21,0.13,0.04,13203,1394,0.011,0
25,6,0.54,0.46,0.24,0.16,0.13,0.14,0.34,5107,1213,0.01,0
1229,423,0.42,0.58,0.28,0.22,0.25,0.12,0.14,16031,938,0.047,0
46,24,0.4,0.6,0.28,0.22,0.26,0.12,0.12,139172,1469,0.065,0
4,1,0.46,0.54,0.21,0.22,0.24,0.19,0.14,2506,1389,0.012,0
3782,934,0.39,0.61,0.41,0.15,0.19,0.1,0.15,2763,1411,0.019,0
636,148,0.63,0.37,0.12,0.21,0.12,0.12,0.43,14811,884,0.056,0
21,3,0.55,0.45,0.18,0.19,0.17,0.2,0.26,10220,1311,0.024,0
7,1,0.27,0.73,0.5,0.2,0.23,0.04,0.04,5688,2181,0.014,0
2781,799,0.36,0.64,0.37,0.2,0.27,0.1,0.06,5472,2891,0.012,0
3,0,0.43,0.57,0.2,0.29,0.29,0.1,0.13,3034,1301,0.027,0
314,67,0.43,0.57,0.23,0.28,0.27,0.15,0.08,35317,1658,0.02,0
2,0,0.47,0.53,0.11,0.22,0.33,0.28,0.06,6996,438,0.143,0
146,36,0.58,0.42,0.16,0.15,0.21,0.17,0.32,120994,1238,0.052,0
84,8,0.5,0.5,0.22,0.17,0.27,0.16,0.19,7985,1098,0.053,0
20,2,0.46,0.54,0.23,0.25,0.14,0.2,0.17,12270,3024,0.02,0
13,2,0.55,0.45,0.16,0.13,0.22,0.29,0.2,50405,3134,0.084,0
177,66,0.35,0.65,0.29,0.38,0.15,0.08,0.09,11578,1036,0.054,0
101,15,0.39,0.61,0.24,0.43,0.18,0.08,0.07,24293,1128,0.105,0
2,1,0.28,0.72,0.41,0.47,0.0,0.06,0.06,4259,884,0.0,0
147,84,0.27,0.73,0.44,0.3,0.22,0.04,0.0,3408,1188,0.0,0
48,41,0.37,0.63,0.26,0.33,0.21,0.17,0.03,17852,1298,0.026,0
505,134,0.34,0.66,0.4,0.25,0.17,0.09,0.08,14289,1415,0.043,0
5,0,0.43,0.57,0.25,0.22,0.25,0.15,0.12,6032,1012,0.026,0
12,3,0.21,0.79,0.66,0.11,0.17,0.05,0.01,29885,3833,0.022,1
6,1,0.46,0.54,0.14,0.27,0.33,0.22,0.04,9862,1848,0.018,0
1,0,0.46,0.54,0.32,0.19,0.15,0.14,0.21,3686,1352,0.05,0
3,0,0.43,0.57,0.23,0.3,0.16,0.18,0.14,46841,1311,0.011,0
4,2,0.51,0.49,0.18,0.18,0.21,0.24,0.18,444255,1591,0.068,0
40,8,0.27,0.73,0.57,0.16,0.14,0.03,0.09,39385,2083,0.067,0
147,35,0.41,0.59,0.29,0.24,0.2,0.13,0.14,32024,1459,0.073,0
111,17,0.42,0.58,0.33,0.18,0.22,0.15,0.13,6749,1031,0.03,0
19,7,0.45,0.55,0.23,0.18,0.28,0.23,0.07,12018,1169,0.032,0
507,160,0.47,0.53,0.22,0.24,0.26,0.14,0.14,22433,1262,0.06,0
1,0,0.44,0.56,0.08,0.33,0.46,0.1,0.03,5022,957,0.026,0
34,15,0.42,0.58,0.36,0.18,0.15,0.16,0.14,14549,773,0.021,0
1523,284,0.44,0.56,0.22,0.21,0.23,0.25,0.09,3758,881,0.035,0
11,2,0.39,0.61,0.35,0.18,0.26,0.09,0.12,27906,1487,0.084,0
492,155,0.29,0.71,0.4,0.27,0.28,0.04,0.01,101260,1550,0.019,0
821,315,0.27,0.73,0.53,0.2,0.17,0.04,0.05,165093,1188,0.092,0
5,1,0.55,0.45,0.12,0.31,0.15,0.16,0.26,1606,813,0.02,0
788,257,0.33,0.67,0.35,0.32,0.18,0.08,0.07,4100,2079,0.01,0
143,45,0.32,0.68,0.34,0.35,0.23,0.06,0.03,80387,1409,0.126,0
28,12,0.35,0.65,0.3,0.35,0.15,0.12,0.08,5773,1130,0.069,0
323,79,0.77,0.23,0.02,0.06,0.12,0.32,0.48,110377,1233,0.046,0
344,143,0.28,0.72,0.39,0.29,0.26,0.06,0.0,226853,1120,0.062,0
0,0,0.44,0.56,0.0,0.25,0.75,0.0,0.0,61320,300,0.0,0
59,18,0.33,0.67,0.45,0.15,0.25,0.05,0.1,2943,737,0.0,0
2164,276,0.34,0.66,0.34,0.3,0.17,0.15,0.04,31029,1140,0.092,1
12,2,0.43,0.57,0.29,0.22,0.16,0.24,0.09,44793,1061,0.057,0
15,16,0.41,0.59,0.27,0.18,0.32,0.15,0.08,4025,737,0.058,0
40,8,0.44,0.56,0.17,0.37,0.18,0.15,0.14,57408,1185,0.037,0
2557,255,0.38,0.62,0.36,0.24,0.14,0.13,0.12,21771,1312,0.014,0
520,130,0.54,0.46,0.18,0.17,0.21,0.18,0.26,179558,4059,0.018,0
4,0,0.46,0.54,0.19,0.33,0.22,0.14,0.12,8595,944,0.076,0
13,4,0.52,0.48,0.1,0.2,0.34,0.22,0.15,25031,6861,0.059,0
1,0,0.39,0.61,0.41,0.15,0.14,0.13,0.16,2462,274,0.1,0
17,5,0.44,0.56,0.26,0.16,0.29,0.16,0.12,2553,1089,0.051,0
1,0,0.56,0.44,0.26,0.14,0.07,0.09,0.44,15472,166,0.111,0
188,96,0.33,0.67,0.39,0.27,0.18,0.08,0.08,25771,1415,0.039,0
226,32,0.42,0.58,0.26,0.13,0.41,0.12,0.08,7364,1004,0.03,0
7,3,0.4,0.6,0.31,0.23,0.23,0.07,0.15,172183,980,0.067,0
40,7,0.4,0.6,0.31,0.15,0.36,0.1,0.09,122252,872,0.1,0
22,8,0.3,0.7,0.19,0.68,0.06,0.06,0.0,119935,1330,0.103,0
7,2,0.4,0.6,0.31,0.25,0.16,0.13,0.15,128774,1100,0.082,0
2,1,0.41,0.59,0.26,0.26,0.22,0.17,0.09,16360,13486,0.022,0
0,0,0.37,0.63,0.08,0.67,0.08,0.08,0.08,10829,2918,0.143,0
1,0,0.62,0.38,0.07,0.15,0.24,0.28,0.26,1223,1011,0.0,0
4,1,0.51,0.49,0.21,0.19,0.16,0.22,0.22,11052,8011,0.014,0
66,17,0.47,0.53,0.21,0.21,0.25,0.2,0.14,6308,1012,0.02,0
12,3,0.51,0.49,0.12,0.24,0.28,0.17,0.18,11056,3012,0.047,0
9,1,0.36,0.64,0.43,0.22,0.09,0.14,0.11,11900,4855,0.026,1
618,131,0.48,0.52,0.18,0.26,0.2,0.19,0.17,28146,4687,0.034,1
101,39,0.4,0.6,0.32,0.27,0.19,0.09,0.14,6387,2027,0.019,0
1,0,0.41,0.59,0.22,0.26,0.37,0.11,0.04,2738,1485,0.0,0
4,0,0.55,0.45,0.14,0.19,0.2,0.27,0.2,29691,3635,0.072,0
5,1,0.44,0.56,0.26,0.25,0.18,0.17,0.14,15331,819,0.024,1
1050,238,0.59,0.41,0.14,0.18,0.17,0.15,0.38,477598,3528,0.06,0
2,0,0.49,0.51,0.22,0.24,0.15,0.18,0.21,5417,1723,0.0,0
600,64,0.32,0.68,0.46,0.19,0.2,0.07,0.08,169137,949,0.052,0
35,4,0.45,0.55,0.21,0.29,0.18,0.25,0.08,3005,1007,0.012,1
3,1,0.57,0.43,0.13,0.13,0.24,0.24,0.26,21406,2237,0.111,0
42,7,0.34,0.66,0.34,0.28,0.23,0.12,0.04,31681,1434,0.125,0
547,142,0.42,0.58,0.27,0.27,0.2,0.13,0.14,21476,1130,0.043,0
289,116,0.33,0.67,0.32,0.41,0.1,0.07,0.1,10347,1425,0.062,0
6,3,0.44,0.56,0.27,0.24,0.17,0.15,0.17,6083,1420,0.052,0
3,0,0.51,0.49,0.17,0.19,0.21,0.29,0.13,41464,789,0.102,0
36,3,0.39,0.61,0.26,0.27,0.25,0.16,0.04,4468,2403,0.026,0
2,1,0.47,0.53,0.19,0.26,0.18,0.21,0.15,6786,1162,0.108,0
53,19,0.35,0.65,0.35,0.31,0.17,0.06,0.1,54268,1495,0.026,0
10,2,0.43,0.57,0.27,0.26,0.16,0.21,0.11,3618,706,0.008,0
32,4,0.58,0.42,0.16,0.18,0.12,0.2,0.34,5324,1904,0.019,0
291,40,0.42,0.58,0.32,0.2,0.18,0.15,0.14,1477,1256,0.011,0
1055,121,0.6,0.4,0.09,0.15,0.29,0.25,0.23,164801,1698,0.07,0
391,79,0.39,0.61,0.41,0.14,0.19,0.11,0.15,403007,849,0.021,0
1,0,0.36,0.64,0.43,0.21,0.14,0.21,0.0,3193,3139,0.0,0
101,43,0.4,0.6,0.26,0.3,0.19,0.13,0.11,14811,1424,0.022,0
677,212,0.21,0.79,0.59,0.22,0.14,0.04,0.01,31885,1740,0.094,0
1,0,0.47,0.53,0.08,0.21,0.53,0.15,0.03,3605,1229,0.0,0
9,1,0.41,0.59,0.23,0.3,0.21,0.15,0.11,5989,1331,0.051,0
2,1,0.45,0.55,0.09,0.36,0.36,0.0,0.18,16794,2079,0.111,0
2,0,0.47,0.53,0.24,0.22,0.21,0.15,0.2,17396,1231,0.031,0
6,1,0.51,0.49,0.21,0.16,0.2,0.23,0.21,20150,1566,0.082,0
16,3,0.32,0.68,0.36,0.37,0.15,0.06,0.07,10750,1419,0.024,0
3,0,0.28,0.72,0.5,0.27,0.15,0.07,0.01,2451,1178,0.029,0
303,85,0.28,0.72,0.44,0.3,0.13,0.1,0.04,69061,1373,0.076,0
1,0,0.19,0.81,0.69,0.14,0.1,0.04,0.03,2444,975,0.0,0
416,438,0.35,0.65,0.39,0.23,0.21,0.13,0.05,828567,1556,0.035,0
21,3,0.36,0.64,0.38,0.22,0.22,0.11,0.08,6010,1049,0.051,0
294,72,0.3,0.7,0.38,0.3,0.19,0.1,0.03,17723,1752,0.02,0
25,3,0.3,0.7,0.4,0.34,0.14,0.07,0.05,2877,1405,0.02,0
137,53,0.43,0.57,0.29,0.21,0.21,0.12,0.18,2027,701,0.01,0
284,97,0.41,0.59,0.33,0.23,0.15,0.12,0.16,10249,3230,0.042,0
66,24,0.43,0.57,0.2,0.26,0.31,0.1,0.13,6538,1902,0.053,0
129,19,0.24,0.76,0.54,0.26,0.13,0.06,0.01,376140,1419,0.034,0
322,36,0.44,0.56,0.24,0.21,0.27,0.15,0.12,27908,1024,0.069,0
1,0,0.37,0.63,0.29,0.3,0.24,0.1,0.07,3234,1068,0.0,0
333,136,0.44,0.56,0.21,0.28,0.23,0.19,0.09,560799,1573,0.136,0
2290,674,0.37,0.63,0.32,0.27,0.2,0.12,0.1,3468,1527,0.01,0
1278,356,0.61,0.39,0.09,0.17,0.16,0.23,0.35,75081,1050,0.06,1
9,1,0.4,0.6,0.3,0.28,0.18,0.12,0.12,10071,1053,0.04,1
42,9,0.42,0.58,0.33,0.21,0.12,0.18,0.15,3340,1906,0.025,0
93,19,0.49,0.51,0.16,0.2,0.36,0.16,0.12,16334,1064,0.057,0
6,1,0.51,0.49,0.18,0.21,0.24,0.2,0.19,55676,1387,0.116,0
171,23,0.4,0.6,0.29,0.32,0.16,0.09,0.15,6860,1304,0.02,0
4,0,0.41,0.59,0.24,0.31,0.22,0.11,0.12,8164,1084,0.01,1
13,2,0.6,0.4,0.07,0.2,0.22,0.25,0.26,4094,1842,0.023,1
79,24,0.38,0.62,0.35,0.18,0.27,0.12,0.08,10143,1904,0.0,0
24,7,0.31,0.69,0.53,0.18,0.13,0.08,0.09,117642,1654,0.058,0
7,1,0.37,0.63,0.28,0.33,0.2,0.14,0.04,2414,907,0.0,0
2,1,0.61,0.39,0.12,0.15,0.19,0.22,0.31,7472,1746,0.043,0
3,1,0.56,0.44,0.16,0.16,0.17,0.32,0.19,5600,798,0.018,0
306,132,0.45,0.55,0.29,0.22,0.12,0.22,0.15,2733,1465,0.0,0
0,0,0.4,0.6,0.21,0.45,0.1,0.14,0.1,785,662,0.0,0
184,16,0.38,0.62,0.41,0.16,0.18,0.12,0.14,158799,420,0.116,0
25,11,0.41,0.59,0.29,0.22,0.25,0.15,0.09,12628,1102,0.057,0
101,76,0.35,0.65,0.22,0.4,0.28,0.08,0.01,41717,1699,0.093,0
343,49,0.37,0.63,0.3,0.26,0.27,0.11,0.05,54774,1914,0.037,0
151,48,0.41,0.59,0.29,0.2,0.29,0.14,0.08,13544,1766,0.075,1
4,1,0.47,0.53,0.28,0.14,0.25,0.11,0.22,3263,2433,0.053,0
10,3,0.65,0.35,0.13,0.08,0.15,0.33,0.32,4999,1471,0.043,0
13,8,0.26,0.74,0.51,0.18,0.22,0.07,0.02,4508,2032,0.042,0
2,0,0.52,0.48,0.11,0.29,0.24,0.13,0.23,7369,1369,0.068,0
423,89,0.5,0.5,0.17,0.22,0.26,0.16,0.19,125431,1647,0.118,0
