movie_id;features
184503;1,0,0.28,0.72,0.7,0.05,0.07,0.07,0.1,2492,450,0.0
184551;57,4,0.43,0.57,0.28,0.19,0.25,0.18,0.11,94591,462,0.079
184561;5,1,0.32,0.68,0.33,0.23,0.41,0.03,0.0,27292,1227,0.072
184583;9,2,0.59,0.41,0.17,0.12,0.17,0.21,0.33,37211,796,0.011
184621;14,5,0.46,0.54,0.19,0.25,0.27,0.17,0.12,29325,4293,0.041
184623;12,8,0.33,0.67,0.44,0.18,0.23,0.08,0.07,2397,1224,0.0
184643;76,15,0.4,0.6,0.33,0.24,0.15,0.19,0.1,11321,1963,0.069
184647;0,0,0.39,0.61,0.67,0.0,0.0,0.0,0.33,114,164,0.0
184649;3,1,0.48,0.52,0.18,0.26,0.26,0.13,0.18,4644,1270,0.034
184651;2,0,0.45,0.55,0.25,0.16,0.36,0.1,0.12,170711,970,0.064
184697;3,0,0.45,0.55,0.21,0.27,0.24,0.17,0.12,2160,1437,0.01
184729;2,0,0.41,0.59,0.27,0.24,0.24,0.16,0.09,17172,1909,0.056
184791;1,0,0.44,0.56,0.2,0.28,0.27,0.12,0.13,4170,1295,0.022
184793;3140,678,0.38,0.62,0.31,0.22,0.31,0.1,0.07,11797,2073,0.068
184797;1,0,0.33,0.67,0.38,0.32,0.15,0.1,0.06,641,543,0.01
184803;77,17,0.28,0.72,0.45,0.31,0.15,0.03,0.06,48600,1025,0.032
184807;36,21,0.42,0.58,0.24,0.29,0.26,0.08,0.12,102332,492,0.037
184831;2,0,0.41,0.59,0.24,0.38,0.13,0.15,0.11,2816,932,0.025
184865;214,59,0.3,0.7,0.5,0.2,0.17,0.04,0.09,1496,1099,0.053
184869;3,0,0.5,0.5,0.21,0.22,0.19,0.22,0.18,1420,1044,0.0
184907;13,2,0.4,0.6,0.3,0.25,0.2,0.16,0.09,3990,1546,0.069
184909;2,0,0.56,0.44,0.15,0.15,0.23,0.24,0.23,2388,1177,0.022
184925;1,0,0.42,0.58,0.22,0.29,0.23,0.14,0.11,1344,1072,0.0
184931;33,6,0.22,0.78,0.58,0.25,0.12,0.03,0.03,15842,1067,0.042
184933;1,0,0.51,0.49,0.15,0.27,0.17,0.24,0.17,3210,1040,0.029
184935;220,23,0.52,0.48,0.19,0.19,0.21,0.17,0.24,39957,2250,0.075
184937;3,1,0.47,0.53,0.19,0.28,0.22,0.13,0.19,3122,818,0.022
184939;1702,103,0.28,0.72,0.46,0.28,0.15,0.07,0.03,112292,997,0.071
184941;7,2,0.44,0.56,0.27,0.15,0.31,0.13,0.14,113102,642,0.074
184987;657,243,0.39,0.61,0.29,0.26,0.19,0.14,0.12,103757,5439,0.122
184989;4,1,0.42,0.58,0.21,0.33,0.23,0.12,0.12,122719,1918,0.05
184991;7,2,0.24,0.76,0.54,0.25,0.15,0.05,0.01,3005,948,0.0
184997;355,59,0.52,0.48,0.21,0.15,0.16,0.29,0.18,25144,2939,0.023
184999;4511,1367,0.38,0.62,0.33,0.27,0.22,0.07,0.11,6741,3891,0.014
185001;53,6,0.36,0.64,0.45,0.13,0.16,0.12,0.13,65584,1236,0.025
185003;2,0,0.41,0.59,0.3,0.26,0.17,0.17,0.11,6153,1065,0.021
185025;59,12,0.4,0.6,0.31,0.27,0.2,0.09,0.12,17173,1845,0.054
185029;4,1,0.38,0.62,0.36,0.2,0.22,0.12,0.11,256125,2221,0.043
185031;4,1,0.36,0.64,0.36,0.23,0.21,0.11,0.09,4460,950,0.012
185033;6,10,0.32,0.68,0.4,0.3,0.17,0.08,0.05,2466,1757,0.011
185105;823,284,0.25,0.75,0.48,0.32,0.17,0.03,0.01,194453,4918,0.053
185109;780,173,0.36,0.64,0.32,0.28,0.23,0.13,0.04,19469,1746,0.066
185111;1893,498,0.4,0.6,0.36,0.19,0.18,0.11,0.16,4058,2328,0.01
185169;23,1,0.48,0.52,0.23,0.2,0.16,0.21,0.21,5389,1369,0.033
185171;1,0,0.32,0.68,0.46,0.26,0.1,0.08,0.1,1628,1133,0.0
185285;2424,138,0.34,0.66,0.39,0.26,0.19,0.06,0.1,6113,1657,0.057
185295;102,35,0.32,0.68,0.41,0.29,0.15,0.11,0.05,35917,1046,0.041
185307;0,0,0.48,0.52,0.2,0.06,0.39,0.28,0.07,436,758,0.0
185319;921,162,0.47,0.53,0.22,0.25,0.19,0.2,0.15,22411,1947,0.056
185335;456,107,0.33,0.67,0.43,0.24,0.16,0.1,0.07,39197,6011,0.08
185375;5,1,0.47,0.53,0.16,0.26,0.32,0.13,0.14,2691,1985,0.02
185385;204,122,0.46,0.54,0.24,0.24,0.18,0.15,0.18,4553,1037,0.011
185387;0,0,0.52,0.48,0.25,0.14,0.14,0.25,0.23,2417,1000,0.021
185389;0,0,0.51,0.49,0.0,0.0,1.0,0.0,0.0,1711,3020,0.0
185391;0,0,0.3,0.7,0.42,0.38,0.04,0.04,0.12,1923,970,0.0
185393;8,1,0.33,0.67,0.43,0.32,0.09,0.02,0.14,74953,831,0.121
185397;1,0,0.27,0.73,0.41,0.32,0.23,0.05,0.0,4030,576,0.027
185399;0,0,0.23,0.77,0.78,0.0,0.11,0.0,0.11,3364,326,0.0
185401;0,0,0.11,0.89,0.71,0.29,0.0,0.0,0.0,3435,63,0.0
185403;0,0,0.44,0.56,0.33,0.0,0.67,0.0,0.0,7577,17,0.0
185405;1,0,0.51,0.49,0.27,0.12,0.2,0.16,0.25,2611,832,0.0
185407;1,2,0.56,0.44,0.15,0.18,0.14,0.25,0.28,4464,733,0.032
185409;0,0,0.33,0.67,0.0,0.86,0.0,0.0,0.14,1428,198,0.0
185411;1,0,0.72,0.28,0.06,0.1,0.12,0.26,0.45,2552,1210,0.01
185413;0,0,0.79,0.21,0.0,0.0,0.0,0.75,0.25,2520,497,0.0
185423;1366,317,0.49,0.51,0.23,0.22,0.15,0.23,0.17,40616,677,0.066
185425;149,31,0.36,0.64,0.41,0.16,0.21,0.11,0.1,3915,919,0.01
185427;88,11,0.45,0.55,0.22,0.22,0.26,0.17,0.12,5480,1596,0.029
185431;129,50,0.41,0.59,0.24,0.31,0.14,0.21,0.1,2308,1156,0.029
185433;2327,405,0.42,0.58,0.31,0.2,0.2,0.14,0.14,2518,1048,0.013
185435;391,37,0.36,0.64,0.3,0.34,0.23,0.08,0.06,46639,12045,0.05
185437;27,5,0.52,0.48,0.21,0.2,0.14,0.21,0.25,5111,1512,0.012
185439;69,3,0.39,0.61,0.28,0.34,0.18,0.11,0.1,120396,1117,0.02
185443;4,0,0.46,0.54,0.26,0.21,0.23,0.12,0.18,14754,539,0.032
185471;1,2,0.38,0.62,0.42,0.21,0.1,0.23,0.04,5030,3722,0.014
185473;12,2,0.34,0.66,0.29,0.35,0.25,0.07,0.05,196027,1318,0.08
185475;189,49,0.31,0.69,0.38,0.35,0.11,0.12,0.03,30618,3595,0.097
185481;3,1,0.41,0.59,0.32,0.23,0.16,0.15,0.14,6298,2289,0.015
185493;183,33,0.35,0.65,0.37,0.23,0.19,0.16,0.06,157366,1557,0.093
185517;551,159,0.41,0.59,0.23,0.35,0.21,0.14,0.07,652268,662,0.077
185537;400,141,0.43,0.57,0.29,0.23,0.24,0.1,0.14,73882,3058,0.054
185539;232,24,0.42,0.58,0.23,0.27,0.25,0.17,0.09,6898,1803,0.029
185545;2158,843,0.39,0.61,0.24,0.35,0.23,0.09,0.1,48619,1532,0.032
185569;193,90,0.49,0.51,0.18,0.26,0.2,0.18,0.18,15815,1378,0.021
185571;716,258,0.23,0.77,0.59,0.26,0.1,0.05,0.01,3074,1562,0.02
185585;5,1,0.32,0.68,0.41,0.23,0.15,0.16,0.04,37608,1199,0.012
185597;1339,469,0.29,0.71,0.5,0.23,0.14,0.1,0.04,47325,3334,0.056
185601;105,22,0.41,0.59,0.36,0.15,0.26,0.09,0.14,16020,1096,0.011
185733;780,123,0.36,0.64,0.27,0.41,0.15,0.11,0.06,400135,1996,0.061
185739;393,120,0.2,0.8,0.66,0.19,0.11,0.0,0.04,36461,1731,0.029
185753;39,5,0.22,0.78,0.65,0.16,0.09,0.08,0.03,11591,2518,0.022
185759;23,2,0.33,0.67,0.39,0.24,0.21,0.13,0.04,13203,1394,0.011
185791;25,6,0.54,0.46,0.24,0.16,0.13,0.14,0.34,5107,1213,0.01
185793;1229,423,0.42,0.58,0.28,0.22,0.25,0.12,0.14,16031,938,0.047
185841;46,24,0.4,0.6,0.28,0.22,0.26,0.12,0.12,139172,1469,0.065
185869;4,1,0.46,0.54,0.21,0.22,0.24,0.19,0.14,2506,1389,0.012
185883;3782,934,0.39,0.61,0.41,0.15,0.19,0.1,0.15,2763,1411,0.019
185927;636,148,0.63,0.37,0.12,0.21,0.12,0.12,0.43,14811,884,0.056
185975;21,3,0.55,0.45,0.18,0.19,0.17,0.2,0.26,10220,1311,0.024
185977;7,1,0.27,0.73,0.5,0.2,0.23,0.04,0.04,5688,2181,0.014
185979;2781,799,0.36,0.64,0.37,0.2,0.27,0.1,0.06,5472,2891,0.012
185987;3,0,0.43,0.57,0.2,0.29,0.29,0.1,0.13,3034,1301,0.027
185989;314,67,0.43,0.57,0.23,0.28,0.27,0.15,0.08,35317,1658,0.02
185995;2,0,0.47,0.53,0.11,0.22,0.33,0.28,0.06,6996,438,0.143
185997;146,36,0.58,0.42,0.16,0.15,0.21,0.17,0.32,120994,1238,0.052
185999;84,8,0.5,0.5,0.22,0.17,0.27,0.16,0.19,7985,1098,0.053
186003;20,2,0.46,0.54,0.23,0.25,0.14,0.2,0.17,12270,3024,0.02
186005;13,2,0.55,0.45,0.16,0.13,0.22,0.29,0.2,50405,3134,0.084
186011;177,66,0.35,0.65,0.29,0.38,0.15,0.08,0.09,11578,1036,0.054
186207;101,15,0.39,0.61,0.24,0.43,0.18,0.08,0.07,24293,1128,0.105
186215;2,1,0.28,0.72,0.41,0.47,0.0,0.06,0.06,4259,884,0.0
186217;147,84,0.27,0.73,0.44,0.3,0.22,0.04,0.0,3408,1188,0.0
186223;48,41,0.37,0.63,0.26,0.33,0.21,0.17,0.03,17852,1298,0.026
186249;505,134,0.34,0.66,0.4,0.25,0.17,0.09,0.08,14289,1415,0.043
186251;5,0,0.43,0.57,0.25,0.22,0.25,0.15,0.12,6032,1012,0.026
186263;12,3,0.21,0.79,0.66,0.11,0.17,0.05,0.01,29885,3833,0.022
186273;6,1,0.46,0.54,0.14,0.27,0.33,0.22,0.04,9862,1848,0.018
186305;1,0,0.46,0.54,0.32,0.19,0.15,0.14,0.21,3686,1352,0.05
186311;3,0,0.43,0.57,0.23,0.3,0.16,0.18,0.14,46841,1311,0.011
186317;4,2,0.51,0.49,0.18,0.18,0.21,0.24,0.18,444255,1591,0.068
186331;40,8,0.27,0.73,0.57,0.16,0.14,0.03,0.09,39385,2083,0.067
186335;147,35,0.41,0.59,0.29,0.24,0.2,0.13,0.14,32024,1459,0.073
186337;111,17,0.42,0.58,0.33,0.18,0.22,0.15,0.13,6749,1031,0.03
186363;19,7,0.45,0.55,0.23,0.18,0.28,0.23,0.07,12018,1169,0.032
186367;507,160,0.47,0.53,0.22,0.24,0.26,0.14,0.14,22433,1262,0.06
186381;1,0,0.44,0.56,0.08,0.33,0.46,0.1,0.03,5022,957,0.026
186395;34,15,0.42,0.58,0.36,0.18,0.15,0.16,0.14,14549,773,0.021
186397;1523,284,0.44,0.56,0.22,0.21,0.23,0.25,0.09,3758,881,0.035
186471;11,2,0.39,0.61,0.35,0.18,0.26,0.09,0.12,27906,1487,0.084
186473;492,155,0.29,0.71,0.4,0.27,0.28,0.04,0.01,101260,1550,0.019
186495;821,315,0.27,0.73,0.53,0.2,0.17,0.04,0.05,165093,1188,0.092
186533;5,1,0.55,0.45,0.12,0.31,0.15,0.16,0.26,1606,813,0.02
186551;788,257,0.33,0.67,0.35,0.32,0.18,0.08,0.07,4100,2079,0.01
186553;143,45,0.32,0.68,0.34,0.35,0.23,0.06,0.03,80387,1409,0.126
186555;28,12,0.35,0.65,0.3,0.35,0.15,0.12,0.08,5773,1130,0.069
186565;323,79,0.77,0.23,0.02,0.06,0.12,0.32,0.48,110377,1233,0.046
186573;344,143,0.28,0.72,0.39,0.29,0.26,0.06,0.0,226853,1120,0.062
186581;0,0,0.44,0.56,0.0,0.25,0.75,0.0,0.0,61320,300,0.0
186585;59,18,0.33,0.67,0.45,0.15,0.25,0.05,0.1,2943,737,0.0
186587;2164,276,0.34,0.66,0.34,0.3,0.17,0.15,0.04,31029,1140,0.092
186593;12,2,0.43,0.57,0.29,0.22,0.16,0.24,0.09,44793,1061,0.057
186605;15,16,0.41,0.59,0.27,0.18,0.32,0.15,0.08,4025,737,0.058
186607;40,8,0.44,0.56,0.17,0.37,0.18,0.15,0.14,57408,1185,0.037
186619;2557,255,0.38,0.62,0.36,0.24,0.14,0.13,0.12,21771,1312,0.014
186631;520,130,0.54,0.46,0.18,0.17,0.21,0.18,0.26,179558,4059,0.018
186633;4,0,0.46,0.54,0.19,0.33,0.22,0.14,0.12,8595,944,0.076
186635;13,4,0.52,0.48,0.1,0.2,0.34,0.22,0.15,25031,6861,0.059
186639;1,0,0.39,0.61,0.41,0.15,0.14,0.13,0.16,2462,274,0.1
186641;17,5,0.44,0.56,0.26,0.16,0.29,0.16,0.12,2553,1089,0.051
186649;1,0,0.56,0.44,0.26,0.14,0.07,0.09,0.44,15472,166,0.111
186659;188,96,0.33,0.67,0.39,0.27,0.18,0.08,0.08,25771,1415,0.039
186661;226,32,0.42,0.58,0.26,0.13,0.41,0.12,0.08,7364,1004,0.03
186665;7,3,0.4,0.6,0.31,0.23,0.23,0.07,0.15,172183,980,0.067
186749;40,7,0.4,0.6,0.31,0.15,0.36,0.1,0.09,122252,872,0.1
186813;22,8,0.3,0.7,0.19,0.68,0.06,0.06,0.0,119935,1330,0.103
186861;7,2,0.4,0.6,0.31,0.25,0.16,0.13,0.15,128774,1100,0.082
186863;2,1,0.41,0.59,0.26,0.26,0.22,0.17,0.09,16360,13486,0.022
186865;0,0,0.37,0.63,0.08,0.67,0.08,0.08,0.08,10829,2918,0.143
186903;1,0,0.62,0.38,0.07,0.15,0.24,0.28,0.26,1223,1011,0.0
186905;4,1,0.51,0.49,0.21,0.19,0.16,0.22,0.22,11052,8011,0.014
186947;66,17,0.47,0.53,0.21,0.21,0.25,0.2,0.14,6308,1012,0.02
186949;12,3,0.51,0.49,0.12,0.24,0.28,0.17,0.18,11056,3012,0.047
186953;9,1,0.36,0.64,0.43,0.22,0.09,0.14,0.11,11900,4855,0.026
186955;618,131,0.48,0.52,0.18,0.26,0.2,0.19,0.17,28146,4687,0.034
186967;101,39,0.4,0.6,0.32,0.27,0.19,0.09,0.14,6387,2027,0.019
186973;1,0,0.41,0.59,0.22,0.26,0.37,0.11,0.04,2738,1485,0.0
186983;4,0,0.55,0.45,0.14,0.19,0.2,0.27,0.2,29691,3635,0.072
186985;5,1,0.44,0.56,0.26,0.25,0.18,0.17,0.14,15331,819,0.024
186993;1050,238,0.59,0.41,0.14,0.18,0.17,0.15,0.38,477598,3528,0.06
187001;2,0,0.49,0.51,0.22,0.24,0.15,0.18,0.21,5417,1723,0.0
187023;600,64,0.32,0.68,0.46,0.19,0.2,0.07,0.08,169137,949,0.052
187031;35,4,0.45,0.55,0.21,0.29,0.18,0.25,0.08,3005,1007,0.012
187037;3,1,0.57,0.43,0.13,0.13,0.24,0.24,0.26,21406,2237,0.111
187051;42,7,0.34,0.66,0.34,0.28,0.23,0.12,0.04,31681,1434,0.125
187067;547,142,0.42,0.58,0.27,0.27,0.2,0.13,0.14,21476,1130,0.043
187069;289,116,0.33,0.67,0.32,0.41,0.1,0.07,0.1,10347,1425,0.062
187085;6,3,0.44,0.56,0.27,0.24,0.17,0.15,0.17,6083,1420,0.052
187087;3,0,0.51,0.49,0.17,0.19,0.21,0.29,0.13,41464,789,0.102
187109;36,3,0.39,0.61,0.26,0.27,0.25,0.16,0.04,4468,2403,0.026
187111;2,1,0.47,0.53,0.19,0.26,0.18,0.21,0.15,6786,1162,0.108
187123;53,19,0.35,0.65,0.35,0.31,0.17,0.06,0.1,54268,1495,0.026
187145;10,2,0.43,0.57,0.27,0.26,0.16,0.21,0.11,3618,706,0.008
187149;32,4,0.58,0.42,0.16,0.18,0.12,0.2,0.34,5324,1904,0.019
187151;291,40,0.42,0.58,0.32,0.2,0.18,0.15,0.14,1477,1256,0.011
187157;1055,121,0.6,0.4,0.09,0.15,0.29,0.25,0.23,164801,1698,0.07
187167;391,79,0.39,0.61,0.41,0.14,0.19,0.11,0.15,403007,849,0.021
187179;1,0,0.36,0.64,0.43,0.21,0.14,0.21,0.0,3193,3139,0.0
187189;101,43,0.4,0.6,0.26,0.3,0.19,0.13,0.11,14811,1424,0.022
187191;677,212,0.21,0.79,0.59,0.22,0.14,0.04,0.01,31885,1740,0.094
187213;1,0,0.47,0.53,0.08,0.21,0.53,0.15,0.03,3605,1229,0.0
187215;9,1,0.41,0.59,0.23,0.3,0.21,0.15,0.11,5989,1331,0.051
187229;2,1,0.45,0.55,0.09,0.36,0.36,0.0,0.18,16794,2079,0.111
187231;2,0,0.47,0.53,0.24,0.22,0.21,0.15,0.2,17396,1231,0.031
187245;6,1,0.51,0.49,0.21,0.16,0.2,0.23,0.21,20150,1566,0.082
187259;16,3,0.32,0.68,0.36,0.37,0.15,0.06,0.07,10750,1419,0.024
187309;3,0,0.28,0.72,0.5,0.27,0.15,0.07,0.01,2451,1178,0.029
187311;303,85,0.28,0.72,0.44,0.3,0.13,0.1,0.04,69061,1373,0.076
187449;1,0,0.19,0.81,0.69,0.14,0.1,0.04,0.03,2444,975,0.0
187455;416,438,0.35,0.65,0.39,0.23,0.21,0.13,0.05,828567,1556,0.035
187457;21,3,0.36,0.64,0.38,0.22,0.22,0.11,0.08,6010,1049,0.051
187459;294,72,0.3,0.7,0.38,0.3,0.19,0.1,0.03,17723,1752,0.02
187461;25,3,0.3,0.7,0.4,0.34,0.14,0.07,0.05,2877,1405,0.02
187465;137,53,0.43,0.57,0.29,0.21,0.21,0.12,0.18,2027,701,0.01
187481;284,97,0.41,0.59,0.33,0.23,0.15,0.12,0.16,10249,3230,0.042
187495;66,24,0.43,0.57,0.2,0.26,0.31,0.1,0.13,6538,1902,0.053
187501;129,19,0.24,0.76,0.54,0.26,0.13,0.06,0.01,376140,1419,0.034
187505;322,36,0.44,0.56,0.24,0.21,0.27,0.15,0.12,27908,1024,0.069
187509;1,0,0.37,0.63,0.29,0.3,0.24,0.1,0.07,3234,1068,0.0
187523;333,136,0.44,0.56,0.21,0.28,0.23,0.19,0.09,560799,1573,0.136
187529;2290,674,0.37,0.63,0.32,0.27,0.2,0.12,0.1,3468,1527,0.01
187531;1278,356,0.61,0.39,0.09,0.17,0.16,0.23,0.35,75081,1050,0.06
187541;9,1,0.4,0.6,0.3,0.28,0.18,0.12,0.12,10071,1053,0.04
187551;42,9,0.42,0.58,0.33,0.21,0.12,0.18,0.15,3340,1906,0.025
187559;93,19,0.49,0.51,0.16,0.2,0.36,0.16,0.12,16334,1064,0.057
187579;6,1,0.51,0.49,0.18,0.21,0.24,0.2,0.19,55676,1387,0.116
187583;171,23,0.4,0.6,0.29,0.32,0.16,0.09,0.15,6860,1304,0.02
187593;4,0,0.41,0.59,0.24,0.31,0.22,0.11,0.12,8164,1084,0.01
187595;13,2,0.6,0.4,0.07,0.2,0.22,0.25,0.26,4094,1842,0.023
187601;79,24,0.38,0.62,0.35,0.18,0.27,0.12,0.08,10143,1904,0.0
187611;24,7,0.31,0.69,0.53,0.18,0.13,0.08,0.09,117642,1654,0.058
187613;7,1,0.37,0.63,0.28,0.33,0.2,0.14,0.04,2414,907,0.0
187617;2,1,0.61,0.39,0.12,0.15,0.19,0.22,0.31,7472,1746,0.043
187641;3,1,0.56,0.44,0.16,0.16,0.17,0.32,0.19,5600,798,0.018
187649;306,132,0.45,0.55,0.29,0.22,0.12,0.22,0.15,2733,1465,0.0
187655;0,0,0.4,0.6,0.21,0.45,0.1,0.14,0.1,785,662,0.0
187663;184,16,0.38,0.62,0.41,0.16,0.18,0.12,0.14,158799,420,0.116
187713;25,11,0.41,0.59,0.29,0.22,0.25,0.15,0.09,12628,1102,0.057
187717;101,76,0.35,0.65,0.22,0.4,0.28,0.08,0.01,41717,1699,0.093
187719;343,49,0.37,0.63,0.3,0.26,0.27,0.11,0.05,54774,1914,0.037
187723;151,48,0.41,0.59,0.29,0.2,0.29,0.14,0.08,13544,1766,0.075
